cell_num,file,drug_type,vc_kr1_avg_change,vc_kr2_avg_change,vc_cal_avg_change,vc_na_min_change,vc_to_avg_change,vc_k1_avg_change,vc_f_avg_change,vc_ks_avg_change,vc_weird_k,dvdt_max,rmp,apa,apd10,apd20,apd30,apd60,apd90,triangulation
0,021021_2_control,Control,-3.037816943,1.225081472,-14.09806465,-68.71646194,3.439492529,-5.559487745,-8.199077348,2.734810458,1.536801491,157.3205158,-75.84700287,109.8568195,35.46666667,56.6,72.43333333,138.1666667,191.9333333,1.237389873
1,021121_1_cisapride,Cisapride,0.332205509,2.426967952,-10.36615497,-84.38537574,4.021106697,-4.59658674,-9.892247848,4.707112468,3.8837755,169.8634318,-73.34248875,110.0841789,19.46666667,33.43333333,43.33333333,60,80.53333333,1.596698648
2,021921_1_control,Control,1.613537613,1.096633521,-13.19732769,-74.95191235,1.097817954,-2.574798463,-6.439624981,1.300742978,1.436439716,128.5063961,-78.62567076,120.1185117,70.53333333,115.0666667,149.0333333,182.4666667,198.6666667,7.030684614
3,021921_2_control,Control,0.059458324,1.825005315,-12.76229822,-69.54432536,1.604615076,-3.307549101,-6.760394452,2.328690375,1.46381426,167.7780321,-76.99549859,116.8663055,46.26666667,79.7,102.0666667,146.0333333,180.5,2.156982644
4,022221_3_cisapride,Cisapride,-0.402088715,0.729547794,-12.64446297,-5.397541796,2.972307338,-6.000716186,-11.42768392,2.522081953,1.477814573,82.81071183,-76.98888635,113.7376974,41.1,63.53333333,79.23333333,115.8333333,151.0666667,1.410204848
5,022421_1_cisapride,Cisapride,0.594071672,1.370335889,-10.78732723,-9.343839606,4.913176121,-10.4289683,-12.46884704,2.849740992,12.11916777,132.9111671,-73.53983876,106.0105287,31.96666667,41.73333333,47.13333333,56.26666667,70.1,1.446657183
6,022521_2_cisapride,Cisapride,-0.149215988,1.989821445,-7.843287221,-35.66187132,5.677574618,-3.99477126,-6.176161614,2.610075714,1.702112025,89.65183999,-76.25747056,100.468452,22.83333333,40.8,60.83333333,98.43333333,119.4333333,3.196705923
7,022621_2_cisapride,Cisapride,-0.623520607,1.299617475,-15.39061921,-52.7861893,2.995123536,-3.787458052,-5.640608073,2.948008365,4.555773683,93.07494723,-72.27079678,108.6360978,37.6,54.9,66.23333333,85.23333333,119.1666667,1.32086105
8,022621_4_cisapride,Cisapride,-2.27755166,1.226456686,-11.98345267,-135.9793911,8.370312322,-7.463882354,-11.05707527,4.345318948,8.365396664,126.1971974,-76.9120826,111.6055034,30.86666667,43.53333333,51.33333333,61.93333333,72.23333333,2.572401434
9,031121_3_control,Control,0.875563262,1.889380292,-10.06783529,-64.42836438,2.158111876,-2.483662527,-8.159951864,1.801800099,1.445360327,138.0229394,-77.90595356,115.8108899,65.16666667,111.2666667,142.9,182.3666667,201,5.549707602
10,031221_1_control,Control,1.848722834,4.069318724,-20.01145885,-98.69768622,2.486948434,-4.3751365,-9.188644807,3.704219542,4.210323749,110.4956639,-75.33328247,116.204064,44.53333333,69.53333333,86.16666667,112.6,141.6333333,2.081305894
11,031221_2_control,Control,0.576249469,1.778479874,-15.25171255,-54.20699408,1.572503515,-4.277026221,-8.431352128,2.170571806,1.520452539,121.3193968,-74.54489967,115.2183312,58.93333333,98,126.2,166.5333333,193.1,3.4335648
12,031521_2_verapamil,Verapamil,-1.360159898,2.148695373,-6.214923716,-100.5956908,8.488897491,-7.889617827,-11.74288037,4.283353411,2.014033851,153.3887745,-74.83329519,103.1479362,27.7,51.3,66.5,100.5666667,129.8333333,1.672819437
13,031521_3_verapamil,Verapamil,0.017189948,1.914630482,-10.33648027,-131.7550607,4.309873058,-6.434991557,-11.04153361,3.588300088,4.22448847,119.3865873,-72.6802472,103.5726457,29.9,42.03333333,50.2,65.56666667,86.6,1.298461991
14,031521_4_verapamil,Verapamil,-0.776696825,1.703562603,-14.07628376,-91.47594466,4.035620358,-4.331554687,-8.176891175,3.093902497,4.156507122,144.736909,-75.09371583,111.8908471,38.86666667,54.33333333,63.6,80.2,119.7666667,0.903009124
15,031621_1_verapamil,Verapamil,-1.334556141,0.868408663,-24.79135721,-116.8097243,0.362184529,-7.049744655,-9.090761635,2.932627096,5.373678326,100.4755729,-71.3349101,117.0661987,52.56666667,77.16666667,91.23333333,112.4,182.5,1.035434715
16,031621_2_verapamil,Verapamil,0.411125376,2.045401236,-10.2643451,-66.60174347,2.715413595,-6.655111909,-8.318715335,2.561938915,2.873621677,151.2118207,-74.69036901,108.8685435,32.66666667,48.26666667,59.16666667,78.63333333,107.3666667,1.310258301
17,031721_3_verapamil,Verapamil,-2.482641743,1.534723987,-8.657048781,-207.343575,6.808456901,-8.485534647,-14.07665085,3.983476936,1.661363793,178.0117494,-75.02301569,110.6101066,22.5,38.73333333,55.83333333,126.2,157.0666667,1.922342431
18,031821_1_verapamil,Verapamil,-0.158022998,0.623234199,-8.924029912,-28.48842854,1.14784575,-2.799330484,-5.176346631,1.675256929,2.065636943,128.8166629,-78.04735383,112.9009944,38.26666667,56.03333333,69.8,105.2333333,160.6333333,0.74148019
19,031821_2_verapamil,Verapamil,-0.131254595,1.519906609,-12.53505693,-46.30910592,1.546265557,-5.28881218,-7.057858925,1.781314683,2.824944585,106.7724626,-77.31441215,114.7941304,54.63333333,78.96666667,93.63333333,116.5333333,159.3,1.644381805
20,031921_3_verapamil,Verapamil,-2.054118455,-0.438976775,-10.74043932,-84.61523898,3.964678824,-6.712155126,-11.61766431,1.608649852,0.442800965,156.5423056,-78.15569289,111.5002162,29.83333333,57.7,91.66666667,125.5666667,148.2666667,5.285957152
21,033021_4_control,Control,-0.399770999,0.556058745,-4.556628363,-2.538301778,6.298954988,-2.130633576,-3.904178498,0.881477445,0.404344862,38.6307571,-78.24673838,96.75135424,59.73333333,82.7,109.2,194.9333333,238.8333333,2.134028043
22,033021_5_control,Control,-1.17492034,2.54160404,-19.98881959,-61.26129054,2.52699628,-5.526676043,-8.133752151,3.323678115,1.979351384,91.15231047,-74.10086213,113.5840899,48.56666667,81.56666667,108.7,157.3666667,185.4,3.085544011
23,033121_2_control,Control,0.215459094,2.248958188,-14.73517346,-6.65648952,1.941999764,-4.759970491,-8.722856037,2.358665335,1.823045154,28.46316218,-72.59632258,108.2617431,55.5,85.26666667,107.2,134.7666667,157.2,3.32858667
24,033121_3_control,Control,-1.863669691,1.640422442,-10.18909549,-8.482981665,5.414107871,-9.502130718,-16.2704992,3.988977767,1.789702229,14.95384146,-69.8746217,92.33742784,21.5,38.63333333,51.7,76.1,99.46666667,1.744643875
25,040221_1_quinidine,Quinidine,-1.727815935,0.406130204,-12.78209957,-98.87732475,4.658102496,-5.766371546,-12.09353746,2.709206273,1.375941611,187.3400982,-72.25197731,108.0989802,33.2,70.3,98.3,152.1333333,211.5333333,1.197960619
26,040521_1_quinidine,Quinidine,-0.349576299,1.84476313,-7.397304152,-6.402869748,11.89240153,-9.174746016,-17.30798959,5.252918814,3.130730355,23.44803031,-72.70160983,94.18478676,18.43333333,29.66666667,38,55.1,80.8,1.172449441
27,040621_1_quinidine,Quinidine,-1.794954649,1.420166144,-10.87654105,-94.93804388,4.189903015,-7.38979108,-11.29430006,4.551090952,8.908576019,110.8313624,-71.62432288,107.202767,14.8,22.63333333,28.83333333,39.16666667,52,1.59111561
28,040621_3_quinidine,Quinidine,-2.565149371,0.404549344,-5.510763758,-6.228240946,11.73873523,-6.814076875,-8.737678033,3.260377895,2.539801879,9.018081941,-72.7280588,84.8096437,18.13333333,30.13333333,36.63333333,63.36666667,87.46666667,0.983908582
29,040821_2_quinidine,Quinidine,0.349476776,1.616218199,-11.83842436,-60.93067987,4.157916153,-8.724926467,-11.36486661,3.585161385,2.431070046,158.8108136,-75.59573765,106.3767453,38.26666667,61.13333333,75.06666667,99.43333333,127.0666667,1.721981982
30,040921_1_quinidine,Quinidine,-0.107684589,1.009371849,-10.00625478,-90.15272005,3.795619451,-6.803416224,-10.29690707,3.033324253,1.508117782,147.3665471,-75.72594797,110.2571145,30.8,53.16666667,71.9,106.3333333,135.8,1.991037836
31,042021_2_quinine,Quinine,-0.26078553,2.680457284,-17.68863413,-95.67627874,4.169936852,-7.292521336,-10.43283412,6.040936926,4.332235347,152.4071107,-69.41532514,109.386333,24.86666667,43.76666667,57.56666667,77.53333333,108.0666667,1.886975987
32,042121_1_quinine,Quinine,-0.789880108,1.478635338,-15.01126143,-7.653889267,2.243360633,-6.28203197,-9.432728737,3.26783952,1.592716842,26.67785662,-69.75153226,109.0089265,36.93333333,66.03333333,90,134,196.0666667,1.320711565
33,042621_1_quinine,Quinine,-3.963836118,1.304145876,-15.09714199,-212.1992828,8.813281453,-16.3411609,-18.68759766,7.602924984,8.980849928,155.5250375,-73.33231607,104.6570535,14.06666667,21.76666667,26.36666667,36.43333333,51.43333333,0.953481087
34,042621_2_quinine,Quinine,-2.454637838,1.015605889,-14.11502786,-112.0712235,5.083094813,-9.26881899,-11.59603941,4.24588385,1.3324115,122.5197732,-69.97329671,104.5599044,30.7,47.16666667,63.2,122.4666667,166,1.103603608
35,042621_6_quinine,Quinine,-0.204626034,0.38280168,-11.28149219,-65.90282298,2.123856078,-4.990834895,-8.14999178,1.706751668,0.883663134,169.4209201,-74.41316345,111.9203479,60.7,88.53333333,109.3,143.3666667,182.1666667,1.898046126
36,042721_2_quinine,Quinine,-0.777256428,1.750427798,-16.64722958,-290.4936294,5.224943414,-9.238534073,-13.29375894,4.016911434,2.851983855,150.1843798,-71.05312683,106.93726,36.86666667,60,76.86666667,106.7333333,139.1666667,1.806739129
37,042721_4_quinine,Quinine,1.143252871,2.14551238,-10.97755163,-70.487291,3.082017243,-3.184310074,-8.50859991,2.943766958,3.310033981,145.5659826,-76.9583683,107.3462018,31.23333333,44.9,54.8,70.6,93.7,1.680116959
38,042721_5_quinine,Quinine,-2.38199506,-0.206217302,-21.56958886,-106.9675075,2.556106674,-7.981082305,-10.76231754,2.262668323,2.327662358,28.12237736,-67.0374609,105.5893797,34.86666667,53.26666667,67.83333333,98.83333333,206.9333333,0.388833051
39,042921_1_quinine,Quinine,-0.656688077,0.991216797,-12.99669093,-6.090868778,3.07587136,-8.214269026,-14.62403167,1.702460333,1.598288442,25.30454464,-75.12118207,105.8416622,30.46666667,54.8,80.2,118.4666667,137.2666667,4.354903653
